================================================================================
Engine Log - Started at 2026-03-04 22:04:22
================================================================================

[22:04:22.669] [INFO ] VoxelEngine initialized from Desktop platform with VoxelGames runtime.
[22:04:22.682] [INFO ] [Game:40] Game.A was called!
[22:04:22.682] [INFO ] [Program:38] Creating engine
[22:04:22.684] [INFO ] [TestRuntimeContext:21] TestRuntimeContext created
[22:04:22.685] [INFO ] [Heartbeat:55] Frame rate limit disabled (unlimited FPS)
[22:04:22.685] [INFO ] [Program:45] Starting engine...
[22:04:22.686] [LINE ] ================================================================================
[22:04:22.686] [INFO ] [Engine:26] Starting engine runtime...
[22:04:22.690] [INFO ] [DesktopWindow:26] Creating window: 'Voxel Engine' (800x600)
[22:04:22.775] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[22:04:22.780] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.GraphicsContext
[22:04:23.148] [INFO ] [Engine:64] Post init...
[22:04:23.148] [INFO ] [TestRuntimeContext:32] TestRuntimeContext Initialized
[22:04:23.150] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.CamerasRegistries
[22:04:23.153] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Client.Rendering.RenderManager
[22:04:23.156] [INFO ] [LauncherLayer:17] LauncherLayer.Initialize was called!
[22:04:23.157] [INFO ] [GameLoader:17] Loading game from C:\Users\Dmitrist10\Desktop\VoxelGames\Source\Project_08_VE\Source\Resources\Games\Game_01\Main\bin\net11.0\Game_01.dll
[22:04:23.159] [INFO ] [Game:19] Game.OnInitialize was called!
[22:04:23.160] [INFO ] [Game:25] Game.StartMatch was called!
[22:04:23.161] [EXTRAINFO] [UniverseManager:13] A new Universe was created
[22:04:23.175] [EXTRAINFO] [Universe.API:13] A new Scene was created
[22:04:23.176] [INFO ] [ClientHost:26] Scene loaded
[22:04:23.178] [DEBUG] [GameSetup:13] GameSetup.SetUp was called!
[22:04:23.214] [INFO ] [GameLayer:17] GameLayer.Initialize was called!
[22:04:23.215] [EXTRAINFO] [Heartbeat:62] Starting Heartbeat
[22:04:23.252] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.254] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.278] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.278] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.279] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.280] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.381] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.381] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.386] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.386] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.392] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.392] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.397] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.398] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.403] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.403] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.408] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.409] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.414] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.414] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.419] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.420] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
[22:04:23.425] [INFO ] [EP_MeshRenderer:25] MeshRenderer.OnRender
[22:04:23.425] [INFO ] [EP_MeshRenderer:31] MeshRenderer.OnRender2222222
